,movie,year,imdb,metascore,votes
0,Gladiator,(2000),8.5,67,1232570
1,Memento,(2000),8.4,80,1044301
2,Snatch,(2000),8.3,55,728624
3,Requiem for a Dream,(2000),8.3,68,710422
4,X-Men,(2000),7.4,64,543212
5,Cast Away,(2000),7.8,73,479974
6,American Psycho,(2000),7.6,64,439219
7,Unbreakable,(2000),7.3,62,359940
8,Meet the Parents,(2000),7.0,73,295494
9,Mission: Impossible II,(2000),6.1,59,294761
10,"O Brother, Where Art Thou?",(2000),7.7,69,267580
11,Gone in Sixty Seconds,(2000),6.5,35,248318
12,Wo hu cang long,(2000),7.8,93,242045
13,The Patriot,(2000),7.2,63,240148
14,Almost Famous,(2000),7.9,90,237307
15,Scary Movie,(2000),6.2,48,217382
16,Pitch Black,(2000),7.1,49,215758
17,Final Destination,(2000),6.7,36,214144
18,"Me, Myself & Irene",(2000),6.6,49,211692
19,The Beach,(I) (2000),6.7,43,210806
20,Amores perros,(2000),8.1,83,209196
21,Traffic,(2000),7.6,86,187512
22,Remember the Titans,(2000),7.8,48,186218
23,How the Grinch Stole Christmas,(2000),6.1,46,185341
24,What Women Want,(2000),6.4,47,182250
25,Miss Congeniality,(2000),6.2,43,172522
26,Chocolat,(2000),7.2,64,169697
27,Chicken Run,(2000),7.0,88,166050
28,Charlie's Angels,(2000),5.5,52,165210
29,The Emperor's New Groove,(2000),7.3,70,164492
30,Erin Brockovich,(2000),7.3,73,161090
31,Batoru rowaiaru,(2000),7.6,81,160676
32,High Fidelity,(2000),7.5,79,159706
33,Road Trip,(2000),6.4,55,149814
34,The Perfect Storm,(2000),6.4,59,148441
35,"Dude, Where's My Car?",(2000),5.5,30,129534
36,Billy Elliot,(2000),7.7,74,117057
37,Hollow Man,(2000),5.8,24,116025
38,Scream 3,(2000),5.5,56,115746
39,Shanghai Noon,(2000),6.5,77,113120
40,The 6th Day,(2000),5.9,49,111575
41,What Lies Beneath,(2000),6.6,51,111377
42,Faa yeung nin wa,(2000),8.1,85,108183
43,Pay It Forward,(2000),7.2,40,108018
44,The Whole Nine Yards,(2000),6.7,47,103990
45,Coyote Ugly,(2000),5.7,27,101844
46,Men of Honor,(2000),7.2,56,101823
47,The Family Man,(2000),6.8,42,97748
48,Frequency,(2000),7.3,67,95569
49,Gladiator,(2000),8.5,67,1232570
50,Memento,(2000),8.4,80,1044301
51,Snatch,(2000),8.3,55,728624
52,Requiem for a Dream,(2000),8.3,68,710422
53,X-Men,(2000),7.4,64,543212
54,Cast Away,(2000),7.8,73,479974
55,American Psycho,(2000),7.6,64,439219
56,Unbreakable,(2000),7.3,62,359940
57,Meet the Parents,(2000),7.0,73,295494
58,Mission: Impossible II,(2000),6.1,59,294761
59,"O Brother, Where Art Thou?",(2000),7.7,69,267580
60,Gone in Sixty Seconds,(2000),6.5,35,248318
61,Wo hu cang long,(2000),7.8,93,242045
62,The Patriot,(2000),7.2,63,240148
63,Almost Famous,(2000),7.9,90,237307
64,Scary Movie,(2000),6.2,48,217382
65,Pitch Black,(2000),7.1,49,215758
66,Final Destination,(2000),6.7,36,214144
67,"Me, Myself & Irene",(2000),6.6,49,211692
68,The Beach,(I) (2000),6.7,43,210806
69,Amores perros,(2000),8.1,83,209196
70,Traffic,(2000),7.6,86,187512
71,Remember the Titans,(2000),7.8,48,186218
72,How the Grinch Stole Christmas,(2000),6.1,46,185341
73,What Women Want,(2000),6.4,47,182250
74,Miss Congeniality,(2000),6.2,43,172522
75,Chocolat,(2000),7.2,64,169697
76,Chicken Run,(2000),7.0,88,166050
77,Charlie's Angels,(2000),5.5,52,165210
78,The Emperor's New Groove,(2000),7.3,70,164492
79,Erin Brockovich,(2000),7.3,73,161090
80,Batoru rowaiaru,(2000),7.6,81,160676
81,High Fidelity,(2000),7.5,79,159706
82,Road Trip,(2000),6.4,55,149814
83,The Perfect Storm,(2000),6.4,59,148441
84,"Dude, Where's My Car?",(2000),5.5,30,129534
85,Billy Elliot,(2000),7.7,74,117057
86,Hollow Man,(2000),5.8,24,116025
87,Scream 3,(2000),5.5,56,115746
88,Shanghai Noon,(2000),6.5,77,113120
89,The 6th Day,(2000),5.9,49,111575
90,What Lies Beneath,(2000),6.6,51,111377
91,Faa yeung nin wa,(2000),8.1,85,108183
92,Pay It Forward,(2000),7.2,40,108018
93,The Whole Nine Yards,(2000),6.7,47,103990
94,Coyote Ugly,(2000),5.7,27,101844
95,Men of Honor,(2000),7.2,56,101823
96,The Family Man,(2000),6.8,42,97748
97,Frequency,(2000),7.3,67,95569
98,Gladiator,(2000),8.5,67,1232570
99,Memento,(2000),8.4,80,1044301
100,Snatch,(2000),8.3,55,728624
101,Requiem for a Dream,(2000),8.3,68,710422
102,X-Men,(2000),7.4,64,543212
103,Cast Away,(2000),7.8,73,479974
104,American Psycho,(2000),7.6,64,439219
105,Unbreakable,(2000),7.3,62,359940
106,Meet the Parents,(2000),7.0,73,295494
107,Mission: Impossible II,(2000),6.1,59,294761
108,"O Brother, Where Art Thou?",(2000),7.7,69,267580
109,Gone in Sixty Seconds,(2000),6.5,35,248318
110,Wo hu cang long,(2000),7.8,93,242045
111,The Patriot,(2000),7.2,63,240148
112,Almost Famous,(2000),7.9,90,237307
113,Scary Movie,(2000),6.2,48,217382
114,Pitch Black,(2000),7.1,49,215758
115,Final Destination,(2000),6.7,36,214144
116,"Me, Myself & Irene",(2000),6.6,49,211692
117,The Beach,(I) (2000),6.7,43,210806
118,Amores perros,(2000),8.1,83,209196
119,Traffic,(2000),7.6,86,187512
120,Remember the Titans,(2000),7.8,48,186218
121,How the Grinch Stole Christmas,(2000),6.1,46,185341
122,What Women Want,(2000),6.4,47,182250
123,Miss Congeniality,(2000),6.2,43,172522
124,Chocolat,(2000),7.2,64,169697
125,Chicken Run,(2000),7.0,88,166050
126,Charlie's Angels,(2000),5.5,52,165210
127,The Emperor's New Groove,(2000),7.3,70,164492
128,Erin Brockovich,(2000),7.3,73,161090
129,Batoru rowaiaru,(2000),7.6,81,160676
130,High Fidelity,(2000),7.5,79,159706
131,Road Trip,(2000),6.4,55,149814
132,The Perfect Storm,(2000),6.4,59,148441
133,"Dude, Where's My Car?",(2000),5.5,30,129534
134,Billy Elliot,(2000),7.7,74,117057
135,Hollow Man,(2000),5.8,24,116025
136,Scream 3,(2000),5.5,56,115746
137,Shanghai Noon,(2000),6.5,77,113120
138,The 6th Day,(2000),5.9,49,111575
139,What Lies Beneath,(2000),6.6,51,111377
140,Faa yeung nin wa,(2000),8.1,85,108183
141,Pay It Forward,(2000),7.2,40,108018
142,The Whole Nine Yards,(2000),6.7,47,103990
143,Coyote Ugly,(2000),5.7,27,101844
144,Men of Honor,(2000),7.2,56,101823
145,The Family Man,(2000),6.8,42,97748
146,Frequency,(2000),7.3,67,95569
147,Gladiator,(2000),8.5,67,1232570
148,Memento,(2000),8.4,80,1044301
149,Snatch,(2000),8.3,55,728624
150,Requiem for a Dream,(2000),8.3,68,710422
151,X-Men,(2000),7.4,64,543212
152,Cast Away,(2000),7.8,73,479974
153,American Psycho,(2000),7.6,64,439219
154,Unbreakable,(2000),7.3,62,359940
155,Meet the Parents,(2000),7.0,73,295494
156,Mission: Impossible II,(2000),6.1,59,294761
157,"O Brother, Where Art Thou?",(2000),7.7,69,267580
158,Gone in Sixty Seconds,(2000),6.5,35,248318
159,Wo hu cang long,(2000),7.8,93,242045
160,The Patriot,(2000),7.2,63,240148
161,Almost Famous,(2000),7.9,90,237307
162,Scary Movie,(2000),6.2,48,217382
163,Pitch Black,(2000),7.1,49,215758
164,Final Destination,(2000),6.7,36,214144
165,"Me, Myself & Irene",(2000),6.6,49,211692
166,The Beach,(I) (2000),6.7,43,210806
167,Amores perros,(2000),8.1,83,209196
168,Traffic,(2000),7.6,86,187512
169,Remember the Titans,(2000),7.8,48,186218
170,How the Grinch Stole Christmas,(2000),6.1,46,185341
171,What Women Want,(2000),6.4,47,182250
172,Miss Congeniality,(2000),6.2,43,172522
173,Chocolat,(2000),7.2,64,169697
174,Chicken Run,(2000),7.0,88,166050
175,Charlie's Angels,(2000),5.5,52,165210
176,The Emperor's New Groove,(2000),7.3,70,164492
177,Erin Brockovich,(2000),7.3,73,161090
178,Batoru rowaiaru,(2000),7.6,81,160676
179,High Fidelity,(2000),7.5,79,159706
180,Road Trip,(2000),6.4,55,149814
181,The Perfect Storm,(2000),6.4,59,148441
182,"Dude, Where's My Car?",(2000),5.5,30,129534
183,Billy Elliot,(2000),7.7,74,117057
