,movie,year,imdb,metascore,votes,n_imdb
0,Goodfellas,1990,8.7,89,922673,87.0
1,Edward Scissorhands,1990,7.9,74,419545,79.0
2,Home Alone,1990,7.6,63,411971,76.0
3,Back to the Future Part III,1990,7.4,55,366612,74.0
4,The Godfather Part III,1990,7.6,60,330619,76.0
5,Die Hard 2,1990,7.2,67,316421,72.0
6,Total Recall,1990,7.5,57,281424,75.0
7,Pretty Woman,1990,7.0,51,264719,70.0
8,Dances with Wolves,1990,8.0,72,223542,80.0
9,Ghost,1990,7.0,52,181810,70.0
10,Misery,1990,7.8,75,167336,78.0
11,The Hunt for Red October,1990,7.6,58,166408,76.0
12,Predator 2,1990,6.3,46,135979,63.0
13,Kindergarten Cop,1990,6.1,61,127077,61.0
14,Miller's Crossing,1990,7.8,66,119348,78.0
15,Rocky V,1990,5.3,55,118306,53.0
16,Awakenings,1990,7.8,74,113603,78.0
17,Tremors,1990,7.1,65,109719,71.0
18,Jacob's Ladder,1990,7.5,62,91887,75.0
19,Teenage Mutant Ninja Turtles,1990,6.8,51,79400,68.0
20,RoboCop 2,1990,5.8,42,76718,58.0
21,Wild at Heart,1990,7.2,52,75948,72.0
22,Flatliners,1990,6.6,55,75777,66.0
23,Days of Thunder,1990,6.0,60,73276,60.0
24,Nikita,1990,7.3,56,63547,73.0
25,Arachnophobia,1990,6.4,67,59074,64.0
26,Darkman,1990,6.4,65,54856,64.0
27,Child's Play 2,1990,5.8,37,41281,58.0
28,Bird on a Wire,1990,6.0,36,37212,60.0
29,Night of the Living Dead,1990,6.9,54,36320,69.0
30,Another 48 Hrs.,1990,5.9,23,35927,59.0
31,Presumed Innocent,1990,6.9,72,34948,69.0
32,The Rescuers Down Under,1990,6.9,70,34690,69.0
33,Joe Versus the Volcano,1990,5.8,45,32324,58.0
34,Lionheart,1990,6.2,41,30354,62.0
35,Young Guns II,1990,6.5,47,28854,65.0
36,King of New York,1990,7.0,66,28171,70.0
37,Goodfellas,1990,8.7,89,922673,87.0
38,Edward Scissorhands,1990,7.9,74,419545,79.0
39,Home Alone,1990,7.6,63,411971,76.0
40,Back to the Future Part III,1990,7.4,55,366612,74.0
41,The Godfather Part III,1990,7.6,60,330619,76.0
42,Die Hard 2,1990,7.2,67,316421,72.0
43,Total Recall,1990,7.5,57,281424,75.0
44,Pretty Woman,1990,7.0,51,264719,70.0
45,Dances with Wolves,1990,8.0,72,223542,80.0
46,Ghost,1990,7.0,52,181810,70.0
47,Misery,1990,7.8,75,167336,78.0
48,The Hunt for Red October,1990,7.6,58,166408,76.0
49,Predator 2,1990,6.3,46,135979,63.0
50,Kindergarten Cop,1990,6.1,61,127077,61.0
51,Miller's Crossing,1990,7.8,66,119348,78.0
52,Rocky V,1990,5.3,55,118306,53.0
53,Awakenings,1990,7.8,74,113603,78.0
54,Tremors,1990,7.1,65,109719,71.0
55,Jacob's Ladder,1990,7.5,62,91887,75.0
56,Teenage Mutant Ninja Turtles,1990,6.8,51,79400,68.0
57,RoboCop 2,1990,5.8,42,76718,58.0
58,Wild at Heart,1990,7.2,52,75948,72.0
59,Flatliners,1990,6.6,55,75777,66.0
60,Days of Thunder,1990,6.0,60,73276,60.0
61,Nikita,1990,7.3,56,63547,73.0
62,Arachnophobia,1990,6.4,67,59074,64.0
63,Darkman,1990,6.4,65,54856,64.0
64,Child's Play 2,1990,5.8,37,41281,58.0
65,Bird on a Wire,1990,6.0,36,37212,60.0
66,Night of the Living Dead,1990,6.9,54,36320,69.0
67,Another 48 Hrs.,1990,5.9,23,35927,59.0
68,Presumed Innocent,1990,6.9,72,34948,69.0
69,The Rescuers Down Under,1990,6.9,70,34690,69.0
70,Joe Versus the Volcano,1990,5.8,45,32324,58.0
71,Lionheart,1990,6.2,41,30354,62.0
72,Young Guns II,1990,6.5,47,28854,65.0
73,King of New York,1990,7.0,66,28171,70.0
74,Goodfellas,1990,8.7,89,922673,87.0
75,Edward Scissorhands,1990,7.9,74,419545,79.0
76,Home Alone,1990,7.6,63,411971,76.0
77,Back to the Future Part III,1990,7.4,55,366612,74.0
78,The Godfather Part III,1990,7.6,60,330619,76.0
79,Die Hard 2,1990,7.2,67,316421,72.0
80,Total Recall,1990,7.5,57,281424,75.0
81,Pretty Woman,1990,7.0,51,264719,70.0
82,Dances with Wolves,1990,8.0,72,223542,80.0
83,Ghost,1990,7.0,52,181810,70.0
84,Misery,1990,7.8,75,167336,78.0
85,The Hunt for Red October,1990,7.6,58,166408,76.0
86,Predator 2,1990,6.3,46,135979,63.0
87,Kindergarten Cop,1990,6.1,61,127077,61.0
88,Miller's Crossing,1990,7.8,66,119348,78.0
89,Rocky V,1990,5.3,55,118306,53.0
90,Awakenings,1990,7.8,74,113603,78.0
91,Tremors,1990,7.1,65,109719,71.0
92,Jacob's Ladder,1990,7.5,62,91887,75.0
93,Teenage Mutant Ninja Turtles,1990,6.8,51,79400,68.0
94,RoboCop 2,1990,5.8,42,76718,58.0
95,Wild at Heart,1990,7.2,52,75948,72.0
96,Flatliners,1990,6.6,55,75777,66.0
97,Days of Thunder,1990,6.0,60,73276,60.0
98,Nikita,1990,7.3,56,63547,73.0
99,Arachnophobia,1990,6.4,67,59074,64.0
100,Darkman,1990,6.4,65,54856,64.0
101,Child's Play 2,1990,5.8,37,41281,58.0
102,Bird on a Wire,1990,6.0,36,37212,60.0
103,Night of the Living Dead,1990,6.9,54,36320,69.0
104,Another 48 Hrs.,1990,5.9,23,35927,59.0
105,Presumed Innocent,1990,6.9,72,34948,69.0
106,The Rescuers Down Under,1990,6.9,70,34690,69.0
107,Joe Versus the Volcano,1990,5.8,45,32324,58.0
108,Lionheart,1990,6.2,41,30354,62.0
109,Young Guns II,1990,6.5,47,28854,65.0
110,King of New York,1990,7.0,66,28171,70.0
111,Goodfellas,1990,8.7,89,922673,87.0
112,Edward Scissorhands,1990,7.9,74,419545,79.0
113,Home Alone,1990,7.6,63,411971,76.0
114,Back to the Future Part III,1990,7.4,55,366612,74.0
115,The Godfather Part III,1990,7.6,60,330619,76.0
116,Die Hard 2,1990,7.2,67,316421,72.0
117,Total Recall,1990,7.5,57,281424,75.0
118,Pretty Woman,1990,7.0,51,264719,70.0
119,Dances with Wolves,1990,8.0,72,223542,80.0
120,Ghost,1990,7.0,52,181810,70.0
121,Misery,1990,7.8,75,167336,78.0
122,The Hunt for Red October,1990,7.6,58,166408,76.0
123,Predator 2,1990,6.3,46,135979,63.0
124,Kindergarten Cop,1990,6.1,61,127077,61.0
125,Miller's Crossing,1990,7.8,66,119348,78.0
126,Rocky V,1990,5.3,55,118306,53.0
127,Awakenings,1990,7.8,74,113603,78.0
128,Tremors,1990,7.1,65,109719,71.0
129,Jacob's Ladder,1990,7.5,62,91887,75.0
130,Teenage Mutant Ninja Turtles,1990,6.8,51,79400,68.0
131,RoboCop 2,1990,5.8,42,76718,58.0
132,Wild at Heart,1990,7.2,52,75948,72.0
133,Flatliners,1990,6.6,55,75777,66.0
134,Days of Thunder,1990,6.0,60,73276,60.0
135,Nikita,1990,7.3,56,63547,73.0
136,Arachnophobia,1990,6.4,67,59074,64.0
137,Darkman,1990,6.4,65,54856,64.0
138,Child's Play 2,1990,5.8,37,41281,58.0
139,Bird on a Wire,1990,6.0,36,37212,60.0
140,Night of the Living Dead,1990,6.9,54,36320,69.0
141,Another 48 Hrs.,1990,5.9,23,35927,59.0
142,Presumed Innocent,1990,6.9,72,34948,69.0
143,The Rescuers Down Under,1990,6.9,70,34690,69.0
144,Joe Versus the Volcano,1990,5.8,45,32324,58.0
145,Lionheart,1990,6.2,41,30354,62.0
146,Young Guns II,1990,6.5,47,28854,65.0
147,King of New York,1990,7.0,66,28171,70.0
148,Goodfellas,1990,8.7,89,922673,87.0
149,Edward Scissorhands,1990,7.9,74,419545,79.0
150,Home Alone,1990,7.6,63,411971,76.0
151,Back to the Future Part III,1990,7.4,55,366612,74.0
152,The Godfather Part III,1990,7.6,60,330619,76.0
153,Die Hard 2,1990,7.2,67,316421,72.0
154,Total Recall,1990,7.5,57,281424,75.0
155,Pretty Woman,1990,7.0,51,264719,70.0
156,Dances with Wolves,1990,8.0,72,223542,80.0
157,Ghost,1990,7.0,52,181810,70.0
158,Misery,1990,7.8,75,167336,78.0
159,The Hunt for Red October,1990,7.6,58,166408,76.0
160,Predator 2,1990,6.3,46,135979,63.0
161,Kindergarten Cop,1990,6.1,61,127077,61.0
162,Miller's Crossing,1990,7.8,66,119348,78.0
163,Rocky V,1990,5.3,55,118306,53.0
164,Awakenings,1990,7.8,74,113603,78.0
165,Tremors,1990,7.1,65,109719,71.0
166,Jacob's Ladder,1990,7.5,62,91887,75.0
167,Teenage Mutant Ninja Turtles,1990,6.8,51,79400,68.0
168,RoboCop 2,1990,5.8,42,76718,58.0
169,Wild at Heart,1990,7.2,52,75948,72.0
170,Flatliners,1990,6.6,55,75777,66.0
171,Days of Thunder,1990,6.0,60,73276,60.0
172,Nikita,1990,7.3,56,63547,73.0
173,Arachnophobia,1990,6.4,67,59074,64.0
174,Darkman,1990,6.4,65,54856,64.0
175,Child's Play 2,1990,5.8,37,41281,58.0
176,Bird on a Wire,1990,6.0,36,37212,60.0
177,Night of the Living Dead,1990,6.9,54,36320,69.0
178,Another 48 Hrs.,1990,5.9,23,35927,59.0
179,Presumed Innocent,1990,6.9,72,34948,69.0
180,The Rescuers Down Under,1990,6.9,70,34690,69.0
181,Joe Versus the Volcano,1990,5.8,45,32324,58.0
182,Lionheart,1990,6.2,41,30354,62.0
183,Young Guns II,1990,6.5,47,28854,65.0
184,King of New York,1990,7.0,66,28171,70.0
185,Goodfellas,1990,8.7,89,922673,87.0
186,Edward Scissorhands,1990,7.9,74,419545,79.0
187,Home Alone,1990,7.6,63,411971,76.0
188,Back to the Future Part III,1990,7.4,55,366612,74.0
189,The Godfather Part III,1990,7.6,60,330619,76.0
190,Die Hard 2,1990,7.2,67,316421,72.0
191,Total Recall,1990,7.5,57,281424,75.0
192,Pretty Woman,1990,7.0,51,264719,70.0
193,Dances with Wolves,1990,8.0,72,223542,80.0
194,Ghost,1990,7.0,52,181810,70.0
195,Misery,1990,7.8,75,167336,78.0
196,The Hunt for Red October,1990,7.6,58,166408,76.0
197,Predator 2,1990,6.3,46,135979,63.0
198,Kindergarten Cop,1990,6.1,61,127077,61.0
199,Miller's Crossing,1990,7.8,66,119348,78.0
200,Rocky V,1990,5.3,55,118306,53.0
201,Awakenings,1990,7.8,74,113603,78.0
202,Tremors,1990,7.1,65,109719,71.0
